inventory_id,product_id,warehouse_id,stock_quantity,reorder_level,safety_stock,inventory_date
I0000126,P00126,W004,329,113,126,2026-09-01
I0000127,P00127,W006,277,261,39,2026-09-01
I0000128,P00128,W010,381,80,148,2026-09-01
I0000129,P00129,W001,183,107,31,2026-09-01
I0000130,P00130,W007,70,274,139,2026-09-01
I0000131,P00131,W005,792,266,99,2026-09-01
I0000132,P00132,W006,88,191,136,2026-09-01
I0000133,P00133,W001,377,101,94,2026-09-01
I0000134,P00134,W010,803,127,82,2026-09-01
I0000135,P00135,W008,377,201,146,2026-09-01
I0000136,P00136,W004,750,280,82,2026-09-01
I0000137,P00137,W003,6,288,124,2026-09-01
I0000138,P00138,W001,238,188,108,2026-09-01
I0000139,P00139,W001,973,135,20,2026-09-01
I0000140,P00140,W007,869,238,98,2026-09-01
I0000141,P00141,W002,210,185,80,2026-09-01
I0000142,P00142,W007,503,296,35,2026-09-01
I0000143,P00143,W003,728,121,43,2026-09-01
I0000144,P00144,W001,943,109,125,2026-09-01
I0000145,P00145,W006,469,299,41,2026-09-01
I0000146,P00146,W010,97,179,54,2026-09-01
I0000147,P00147,W007,76,201,35,2026-09-01
I0000148,P00148,W007,678,296,53,2026-09-01
I0000149,P00149,W004,298,116,100,2026-09-01
I0000150,P00150,W007,717,262,103,2026-09-01
I0000151,P00151,W006,463,119,79,2026-09-01
I0000152,P00152,W002,966,101,54,2026-09-01
I0000153,P00153,W010,111,89,47,2026-09-01
I0000154,P00154,W003,460,169,100,2026-09-01
I0000155,P00155,W007,123,187,111,2026-09-01
I0000156,P00156,W004,462,128,138,2026-09-01
I0000157,P00157,W005,872,80,43,2026-09-01
I0000158,P00158,W003,826,225,97,2026-09-01
I0000159,P00159,W010,41,105,103,2026-09-01
I0000160,P00160,W003,93,232,83,2026-09-01
I0000161,P00161,W006,405,181,32,2026-09-01
I0000162,P00162,W005,266,259,64,2026-09-01
I0000163,P00163,W001,974,153,135,2026-09-01
I0000164,P00164,W009,766,190,83,2026-09-01
I0000165,P00165,W002,473,76,55,2026-09-01
I0000166,P00166,W002,12,65,76,2026-09-01
I0000167,P00167,W003,202,260,122,2026-09-01
I0000168,P00168,W006,702,211,41,2026-09-01
I0000169,P00169,W010,600,116,39,2026-09-01
I0000170,P00170,W001,66,100,133,2026-09-01
I0000171,P00171,W003,94,281,104,2026-09-01
I0000172,P00172,W002,43,291,138,2026-09-01
I0000173,P00173,W001,172,286,130,2026-09-01
I0000174,P00174,W007,508,57,117,2026-09-01
I0000175,P00175,W007,176,140,74,2026-09-01
I0000176,P00176,W003,281,121,134,2026-09-01
I0000177,P00177,W003,35,207,82,2026-09-01
I0000178,P00178,W005,510,155,142,2026-09-01
I0000179,P00179,W001,89,121,118,2026-09-01
I0000180,P00180,W003,429,101,83,2026-09-01
I0000181,P00181,W009,813,54,117,2026-09-01
I0000182,P00182,W006,491,189,144,2026-09-01
I0000183,P00183,W006,934,194,148,2026-09-01
I0000184,P00184,W006,397,119,66,2026-09-01
I0000185,P00185,W001,326,202,76,2026-09-01
I0000186,P00186,W001,917,257,91,2026-09-01
I0000187,P00187,W001,828,170,111,2026-09-01
I0000188,P00188,W010,238,299,60,2026-09-01
I0000189,P00189,W002,253,218,81,2026-09-01
I0000190,P00190,W005,546,258,34,2026-09-01
I0000191,P00191,W004,589,266,119,2026-09-01
I0000192,P00192,W006,957,264,64,2026-09-01
I0000193,P00193,W003,242,201,101,2026-09-01
I0000194,P00194,W006,935,201,27,2026-09-01
I0000195,P00195,W006,970,195,56,2026-09-01
I0000196,P00196,W010,971,98,146,2026-09-01
I0000197,P00197,W009,316,94,145,2026-09-01
I0000198,P00198,W001,92,64,79,2026-09-01
I0000199,P00199,W010,224,55,142,2026-09-01
I0000200,P00200,W001,339,284,71,2026-09-01
I0000201,P00201,W003,348,233,65,2026-09-01
I0000202,P00202,W006,60,55,57,2026-09-01
I0000203,P00203,W010,721,284,56,2026-09-01
I0000204,P00204,W002,866,184,113,2026-09-01
I0000205,P00205,W002,382,230,121,2026-09-01
I0000206,P00206,W010,103,136,97,2026-09-01
I0000207,P00207,W006,139,299,60,2026-09-01
I0000208,P00208,W007,810,213,144,2026-09-01
I0000209,P00209,W006,178,231,111,2026-09-01
I0000210,P00210,W004,681,200,64,2026-09-01
I0000211,P00211,W007,314,237,95,2026-09-01
I0000212,P00212,W003,181,236,20,2026-09-01
I0000213,P00213,W010,400,267,28,2026-09-01
I0000214,P00214,W003,616,131,76,2026-09-01
I0000215,P00215,W010,106,289,147,2026-09-01
I0000216,P00216,W003,339,240,39,2026-09-01
I0000217,P00217,W004,355,131,62,2026-09-01
I0000218,P00218,W002,841,231,105,2026-09-01
I0000219,P00219,W008,11,117,73,2026-09-01
I0000220,P00220,W004,709,67,109,2026-09-01
I0000221,P00221,W005,805,77,20,2026-09-01
I0000222,P00222,W001,395,162,127,2026-09-01
I0000223,P00223,W003,905,155,146,2026-09-01
I0000224,P00224,W007,359,189,116,2026-09-01
I0000225,P00225,W002,848,172,77,2026-09-01
I0000226,P00226,W003,462,68,28,2026-09-01
I0000227,P00227,W005,20,131,86,2026-09-01
I0000228,P00228,W002,75,137,63,2026-09-01
I0000229,P00229,W007,164,237,39,2026-09-01
I0000230,P00230,W009,964,279,43,2026-09-01
I0000231,P00231,W006,608,207,143,2026-09-01
I0000232,P00232,W001,441,291,62,2026-09-01
I0000233,P00233,W010,911,161,60,2026-09-01
I0000234,P00234,W001,103,134,72,2026-09-01
I0000235,P00235,W004,419,228,87,2026-09-01
I0000236,P00236,W005,304,110,44,2026-09-01
I0000237,P00237,W001,402,196,145,2026-09-01
I0000238,P00238,W003,55,142,20,2026-09-01
I0000239,P00239,W007,89,125,142,2026-09-01
I0000240,P00240,W004,99,56,72,2026-09-01
I0000241,P00241,W003,653,124,40,2026-09-01
I0000242,P00242,W008,864,79,98,2026-09-01
I0000243,P00243,W007,482,175,87,2026-09-01
I0000244,P00244,W002,657,189,119,2026-09-01
I0000245,P00245,W003,379,276,117,2026-09-01
I0000246,P00246,W006,191,164,31,2026-09-01
I0000247,P00247,W005,450,169,87,2026-09-01
I0000248,P00248,W004,857,118,35,2026-09-01
I0000249,P00249,W003,770,228,44,2026-09-01
I0000250,P00250,W002,684,138,125,2026-09-01
I0000251,P00251,W010,232,191,35,2026-09-01
I0000252,P00252,W007,838,183,127,2026-09-01
I0000253,P00253,W009,703,271,141,2026-09-01
I0000254,P00254,W010,902,110,141,2026-09-01
I0000255,P00255,W005,80,151,28,2026-09-01
I0000256,P00256,W009,584,280,57,2026-09-01
I0000257,P00257,W002,972,243,134,2026-09-01
I0000258,P00258,W003,971,92,74,2026-09-01
I0000259,P00259,W004,129,60,128,2026-09-01
I0000260,P00260,W002,699,161,71,2026-09-01
I0000261,P00261,W003,854,202,86,2026-09-01
I0000262,P00262,W006,932,236,37,2026-09-01
I0000263,P00263,W002,397,192,121,2026-09-01
I0000264,P00264,W009,333,269,90,2026-09-01
I0000265,P00265,W009,469,284,23,2026-09-01
I0000266,P00266,W010,601,183,127,2026-09-01
I0000267,P00267,W002,424,88,57,2026-09-01
I0000268,P00268,W010,602,199,45,2026-09-01
I0000269,P00269,W002,576,249,45,2026-09-01
I0000270,P00270,W005,888,187,108,2026-09-01
I0000271,P00271,W007,270,148,144,2026-09-01
I0000272,P00272,W010,623,171,29,2026-09-01
I0000273,P00273,W003,282,153,56,2026-09-01
I0000274,P00274,W010,623,224,122,2026-09-01
I0000275,P00275,W001,405,277,104,2026-09-01
I0000276,P00276,W004,50,240,141,2026-09-01
I0000277,P00277,W005,918,145,25,2026-09-01
I0000278,P00278,W006,837,253,97,2026-09-01
I0000279,P00279,W005,287,265,145,2026-09-01
I0000280,P00280,W002,995,272,78,2026-09-01
I0000281,P00281,W003,307,299,133,2026-09-01
I0000282,P00282,W006,275,236,126,2026-09-01
I0000283,P00283,W010,661,72,68,2026-09-01
I0000284,P00284,W008,216,283,124,2026-09-01
I0000285,P00285,W008,777,182,115,2026-09-01
I0000286,P00286,W001,527,252,60,2026-09-01
I0000287,P00287,W002,318,231,149,2026-09-01
I0000288,P00288,W007,138,249,27,2026-09-01
I0000289,P00289,W003,197,274,71,2026-09-01
I0000290,P00290,W001,255,58,136,2026-09-01
I0000291,P00291,W001,940,142,70,2026-09-01
I0000292,P00292,W005,377,260,138,2026-09-01
I0000293,P00293,W009,406,212,51,2026-09-01
I0000294,P00294,W001,247,145,145,2026-09-01
I0000295,P00295,W010,456,95,141,2026-09-01
I0000296,P00296,W010,564,139,108,2026-09-01
I0000297,P00297,W003,857,278,86,2026-09-01
I0000298,P00298,W002,291,57,118,2026-09-01
I0000299,P00299,W001,166,268,74,2026-09-01
I0000300,P00300,W004,662,107,72,2026-09-01
I0000301,P00301,W005,667,154,25,2026-09-01
I0000302,P00302,W001,485,283,53,2026-09-01
I0000303,P00303,W003,615,255,22,2026-09-01
I0000304,P00304,W004,258,205,98,2026-09-01
I0000305,P00305,W005,433,279,116,2026-09-01
I0000306,P00306,W006,470,114,75,2026-09-01
I0000307,P00307,W008,309,223,121,2026-09-01
I0000308,P00308,W010,104,51,150,2026-09-01
I0000309,P00309,W006,574,215,92,2026-09-01
I0000310,P00310,W005,700,77,143,2026-09-01
I0000311,P00311,W002,344,120,103,2026-09-01
I0000312,P00312,W005,267,217,96,2026-09-01
I0000313,P00313,W004,153,182,81,2026-09-01
I0000314,P00314,W001,824,269,123,2026-09-01
I0000315,P00315,W006,697,85,26,2026-09-01
I0000316,P00316,W008,302,116,127,2026-09-01
I0000317,P00317,W007,397,238,29,2026-09-01
I0000318,P00318,W010,725,196,68,2026-09-01
I0000319,P00319,W006,743,232,76,2026-09-01
I0000320,P00320,W009,653,250,141,2026-09-01
I0000321,P00321,W006,519,126,63,2026-09-01
I0000322,P00322,W009,185,125,44,2026-09-01
I0000323,P00323,W008,131,239,86,2026-09-01
I0000324,P00324,W009,781,283,66,2026-09-01
I0000325,P00325,W006,670,72,76,2026-09-01
I0000326,P00326,W006,228,240,98,2026-09-01
I0000327,P00327,W007,807,277,104,2026-09-01
I0000328,P00328,W006,266,199,95,2026-09-01
I0000329,P00329,W008,871,80,140,2026-09-01
I0000330,P00330,W001,887,212,38,2026-09-01
I0000331,P00331,W008,910,99,148,2026-09-01
I0000332,P00332,W002,888,224,117,2026-09-01
I0000333,P00333,W009,305,155,33,2026-09-01
I0000334,P00334,W003,140,101,107,2026-09-01
I0000335,P00335,W007,583,278,137,2026-09-01
I0000336,P00336,W003,323,270,66,2026-09-01
I0000337,P00337,W002,499,135,65,2026-09-01
I0000338,P00338,W006,649,64,21,2026-09-01
I0000339,P00339,W008,280,103,63,2026-09-01
I0000340,P00340,W010,782,90,145,2026-09-01
I0000341,P00341,W002,132,207,131,2026-09-01
I0000342,P00342,W007,413,159,142,2026-09-01
I0000343,P00343,W007,4,59,71,2026-09-01
I0000344,P00344,W006,972,53,102,2026-09-01
I0000345,P00345,W009,195,54,21,2026-09-01
I0000346,P00346,W004,231,227,108,2026-09-01
I0000347,P00347,W005,132,76,118,2026-09-01
I0000348,P00348,W009,602,128,62,2026-09-01
I0000349,P00349,W002,843,61,96,2026-09-01
I0000350,P00350,W005,466,236,106,2026-09-01
I0000351,P00351,W007,909,225,54,2026-09-01
I0000352,P00352,W006,923,175,111,2026-09-01
I0000353,P00353,W004,168,292,123,2026-09-01
I0000354,P00354,W001,233,107,53,2026-09-01
I0000355,P00355,W004,751,55,149,2026-09-01
I0000356,P00356,W003,126,143,29,2026-09-01
I0000357,P00357,W007,897,213,85,2026-09-01
I0000358,P00358,W009,638,62,32,2026-09-01
I0000359,P00359,W002,669,264,25,2026-09-01
I0000360,P00360,W001,706,79,126,2026-09-01
I0000361,P00361,W008,389,81,84,2026-09-01
I0000362,P00362,W008,718,89,72,2026-09-01
I0000363,P00363,W001,308,157,45,2026-09-01
I0000364,P00364,W009,276,209,55,2026-09-01
I0000365,P00365,W007,850,280,46,2026-09-01
I0000366,P00366,W009,736,208,50,2026-09-01
I0000367,P00367,W005,116,250,47,2026-09-01
I0000368,P00368,W008,203,205,71,2026-09-01
I0000369,P00369,W005,851,183,71,2026-09-01
I0000370,P00370,W006,720,154,95,2026-09-01
I0000371,P00371,W003,40,190,147,2026-09-01
I0000372,P00372,W004,704,288,143,2026-09-01
I0000373,P00373,W006,240,50,23,2026-09-01
I0000374,P00374,W002,928,78,146,2026-09-01
I0000375,P00375,W003,972,73,150,2026-09-01
I0000376,P00376,W002,740,235,45,2026-09-01
I0000377,P00377,W005,659,109,136,2026-09-01
I0000378,P00378,W005,270,168,32,2026-09-01
I0000379,P00379,W002,832,94,30,2026-09-01
I0000380,P00380,W005,368,255,100,2026-09-01
I0000381,P00381,W007,756,79,44,2026-09-01
I0000382,P00382,W001,9,268,55,2026-09-01
I0000383,P00383,W003,336,141,132,2026-09-01
I0000384,P00384,W010,274,274,43,2026-09-01
I0000385,P00385,W006,834,137,66,2026-09-01
I0000386,P00386,W002,410,152,136,2026-09-01
I0000387,P00387,W005,855,148,142,2026-09-01
I0000388,P00388,W007,664,276,62,2026-09-01
I0000389,P00389,W002,135,228,35,2026-09-01
I0000390,P00390,W003,106,156,143,2026-09-01
I0000391,P00391,W010,694,162,66,2026-09-01
I0000392,P00392,W010,388,249,111,2026-09-01
I0000393,P00393,W010,29,270,53,2026-09-01
I0000394,P00394,W008,942,174,48,2026-09-01
I0000395,P00395,W007,451,61,36,2026-09-01
I0000396,P00396,W005,670,130,23,2026-09-01
I0000397,P00397,W009,785,240,77,2026-09-01
I0000398,P00398,W006,531,183,44,2026-09-01
I0000399,P00399,W007,677,236,83,2026-09-01
I0000400,P00400,W008,354,219,118,2026-09-01
I0000401,P00401,W003,859,261,33,2026-09-01
I0000402,P00402,W001,658,289,60,2026-09-01
I0000403,P00403,W009,869,170,146,2026-09-01
I0000404,P00404,W003,76,242,145,2026-09-01
I0000405,P00405,W006,246,134,91,2026-09-01
I0000406,P00406,W001,519,107,116,2026-09-01
I0000407,P00407,W007,836,110,40,2026-09-01
I0000408,P00408,W008,454,255,134,2026-09-01
I0000409,P00409,W002,877,177,134,2026-09-01
I0000410,P00410,W006,121,177,24,2026-09-01
I0000411,P00411,W002,413,155,29,2026-09-01
I0000412,P00412,W009,562,50,43,2026-09-01
I0000413,P00413,W010,986,208,97,2026-09-01
I0000414,P00414,W009,575,102,136,2026-09-01
I0000415,P00415,W006,372,261,33,2026-09-01
I0000416,P00416,W004,864,166,104,2026-09-01
I0000417,P00417,W009,785,208,141,2026-09-01
I0000418,P00418,W006,733,165,49,2026-09-01
I0000419,P00419,W002,777,218,76,2026-09-01
I0000420,P00420,W001,349,140,94,2026-09-01
I0000421,P00421,W009,534,145,47,2026-09-01
I0000422,P00422,W001,918,92,146,2026-09-01
I0000423,P00423,W003,841,233,124,2026-09-01
I0000424,P00424,W002,260,206,70,2026-09-01
I0000425,P00425,W004,123,288,120,2026-09-01
I0000426,P00426,W004,468,261,68,2026-09-01
I0000427,P00427,W006,110,243,126,2026-09-01
I0000428,P00428,W001,948,212,51,2026-09-01
I0000429,P00429,W008,468,218,149,2026-09-01
I0000430,P00430,W003,986,177,21,2026-09-01
I0000431,P00431,W009,753,62,130,2026-09-01
I0000432,P00432,W010,494,286,150,2026-09-01
I0000433,P00433,W003,708,198,64,2026-09-01
I0000434,P00434,W003,106,149,102,2026-09-01
I0000435,P00435,W009,902,148,127,2026-09-01
I0000436,P00436,W010,937,227,83,2026-09-01
I0000437,P00437,W005,407,296,107,2026-09-01
I0000438,P00438,W005,463,256,54,2026-09-01
I0000439,P00439,W003,422,204,96,2026-09-01
I0000440,P00440,W009,881,130,75,2026-09-01
I0000441,P00441,W004,214,209,94,2026-09-01
I0000442,P00442,W006,943,222,53,2026-09-01
I0000443,P00443,W003,515,188,102,2026-09-01
I0000444,P00444,W002,779,140,142,2026-09-01
I0000445,P00445,W010,584,291,126,2026-09-01
I0000446,P00446,W009,292,274,128,2026-09-01
I0000447,P00447,W001,535,77,26,2026-09-01
I0000448,P00448,W007,148,63,34,2026-09-01
I0000449,P00449,W004,273,242,61,2026-09-01
I0000450,P00450,W005,699,114,57,2026-09-01
I0000451,P00451,W001,707,250,95,2026-09-01
I0000452,P00452,W004,771,188,28,2026-09-01
I0000453,P00453,W006,833,165,46,2026-09-01
I0000454,P00454,W010,888,222,77,2026-09-01
I0000455,P00455,W009,398,110,150,2026-09-01
I0000456,P00456,W005,709,220,32,2026-09-01
I0000457,P00457,W007,396,156,100,2026-09-01
I0000458,P00458,W009,55,53,84,2026-09-01
I0000459,P00459,W004,635,272,133,2026-09-01
I0000460,P00460,W004,933,212,114,2026-09-01
I0000461,P00461,W010,559,239,70,2026-09-01
I0000462,P00462,W004,301,164,65,2026-09-01
I0000463,P00463,W002,191,296,64,2026-09-01
I0000464,P00464,W009,122,146,30,2026-09-01
I0000465,P00465,W007,285,192,87,2026-09-01
I0000466,P00466,W003,164,199,85,2026-09-01
I0000467,P00467,W001,338,169,59,2026-09-01
I0000468,P00468,W001,157,287,102,2026-09-01
I0000469,P00469,W010,52,248,97,2026-09-01
I0000470,P00470,W008,808,196,111,2026-09-01
I0000471,P00471,W002,802,231,101,2026-09-01
I0000472,P00472,W009,225,294,67,2026-09-01
I0000473,P00473,W009,69,251,149,2026-09-01
I0000474,P00474,W003,425,189,123,2026-09-01
I0000475,P00475,W002,357,106,74,2026-09-01
I0000476,P00476,W006,339,142,95,2026-09-01
I0000477,P00477,W004,973,242,141,2026-09-01
I0000478,P00478,W009,843,242,22,2026-09-01
I0000479,P00479,W002,684,138,134,2026-09-01
I0000480,P00480,W004,926,214,82,2026-09-01
I0000481,P00481,W001,698,276,102,2026-09-01
I0000482,P00482,W007,937,253,49,2026-09-01
I0000483,P00483,W007,262,188,92,2026-09-01
I0000484,P00484,W001,933,182,115,2026-09-01
I0000485,P00485,W009,822,180,134,2026-09-01
I0000486,P00486,W008,44,125,69,2026-09-01
I0000487,P00487,W006,526,71,44,2026-09-01
I0000488,P00488,W003,994,294,21,2026-09-01
I0000489,P00489,W002,215,221,74,2026-09-01
I0000490,P00490,W007,855,76,72,2026-09-01
I0000491,P00491,W009,848,229,131,2026-09-01
I0000492,P00492,W002,764,225,59,2026-09-01
I0000493,P00493,W001,470,233,104,2026-09-01
I0000494,P00494,W001,89,68,33,2026-09-01
I0000495,P00495,W003,813,114,38,2026-09-01
I0000496,P00496,W010,841,108,86,2026-09-01
I0000497,P00497,W007,397,165,123,2026-09-01
I0000498,P00498,W007,323,54,119,2026-09-01
I0000499,P00499,W002,547,51,36,2026-09-01
I0000500,P00500,W010,46,229,38,2026-09-01
I0000501,P00501,W006,950,178,47,2026-09-01
I0000502,P00502,W005,805,225,97,2026-09-01
I0000503,P00503,W010,88,122,132,2026-09-01
I0000504,P00504,W007,404,260,27,2026-09-01
I0000505,P00505,W008,160,186,76,2026-09-01
I0000506,P00506,W003,764,150,95,2026-09-01
I0000507,P00507,W003,305,223,115,2026-09-01
I0000508,P00508,W001,566,273,56,2026-09-01
I0000509,P00509,W002,42,51,120,2026-09-01
I0000510,P00510,W009,560,292,41,2026-09-01
I0000511,P00511,W005,215,241,108,2026-09-01
I0000512,P00512,W004,422,281,56,2026-09-01
I0000513,P00513,W003,188,106,84,2026-09-01
I0000514,P00514,W004,117,96,33,2026-09-01
I0000515,P00515,W009,472,215,38,2026-09-01
I0000516,P00516,W005,687,67,84,2026-09-01
I0000517,P00517,W002,202,235,144,2026-09-01
I0000518,P00518,W006,365,82,80,2026-09-01
I0000519,P00519,W002,291,208,37,2026-09-01
I0000520,P00520,W004,325,174,135,2026-09-01
I0000521,P00521,W006,631,218,98,2026-09-01
I0000522,P00522,W010,156,194,113,2026-09-01
I0000523,P00523,W006,981,159,63,2026-09-01
I0000524,P00524,W001,320,113,76,2026-09-01
I0000525,P00525,W007,283,265,112,2026-09-01
I0000526,P00526,W003,695,237,104,2026-09-01
I0000527,P00527,W008,473,164,111,2026-09-01
I0000528,P00528,W005,498,191,47,2026-09-01
I0000529,P00529,W003,661,205,40,2026-09-01
I0000530,P00530,W005,879,261,55,2026-09-01
I0000531,P00531,W009,201,117,39,2026-09-01
I0000532,P00532,W002,913,54,149,2026-09-01
I0000533,P00533,W001,832,198,123,2026-09-01
I0000534,P00534,W010,217,282,29,2026-09-01
I0000535,P00535,W009,266,189,140,2026-09-01
I0000536,P00536,W003,374,150,77,2026-09-01
I0000537,P00537,W010,750,269,94,2026-09-01
I0000538,P00538,W003,475,178,150,2026-09-01
I0000539,P00539,W002,406,143,148,2026-09-01
I0000540,P00540,W001,678,111,62,2026-09-01
I0000541,P00541,W009,143,164,60,2026-09-01
I0000542,P00542,W003,579,292,57,2026-09-01
I0000543,P00543,W008,961,141,30,2026-09-01
I0000544,P00544,W004,779,174,79,2026-09-01
I0000545,P00545,W002,270,144,79,2026-09-01
I0000546,P00546,W001,684,102,112,2026-09-01
I0000547,P00547,W007,480,284,136,2026-09-01
I0000548,P00548,W001,40,216,102,2026-09-01
I0000549,P00549,W002,720,297,90,2026-09-01
I0000550,P00550,W005,592,189,64,2026-09-01
I0000551,P00551,W007,669,146,113,2026-09-01
I0000552,P00552,W010,669,279,39,2026-09-01
I0000553,P00553,W009,257,146,77,2026-09-01
I0000554,P00554,W009,415,140,108,2026-09-01
I0000555,P00555,W008,811,173,21,2026-09-01
I0000556,P00556,W009,903,85,132,2026-09-01
