supplier_id,supplier_name,location,country,lead_time_days,reliability_score
S0052,Bhat Ltd,Howrah,India,6,0.74
S0053,Sood PLC,Howrah,India,13,0.86
S0054,"Buch, Grewal and Biswas",Noida,India,6,0.92
S0055,Dar-Koshy,Udupi,India,8,0.96
S0056,Saini Ltd,Bhilwara,India,8,0.8
S0057,Murthy and Sons,Tenali,India,4,0.85
S0058,Mital Group,Srinagar,India,3,0.92
S0059,Shanker PLC,Srinagar,India,15,0.73
S0060,"Kala, Toor and Lanka",Karnal,India,12,0.75
S0061,Konda LLC,Sangli-Miraj & Kupwad,India,12,0.82
S0062,Mittal-Wadhwa,Begusarai,India,3,0.81
S0063,Chawla-Desai,Bhiwandi,India,11,0.99
S0064,Dugal LLC,Mahbubnagar,India,10,0.77
S0065,Oza and Sons,Dibrugarh,India,10,0.95
S0066,Krishnamurthy-Behl,Bhusawal,India,2,0.9
S0067,Basu-Aggarwal,Bikaner,India,3,0.9
S0068,"Lala, Edwin and Sathe",Kishanganj,India,10,0.92
S0069,Choudhury Inc,Bongaigaon,India,14,0.89
S0070,Pingle PLC,Chinsurah,India,3,0.79
S0071,Barman LLC,Thane,India,4,0.83
S0072,Kade-Krish,Raichur,India,13,0.95
S0073,"Ray, Dubey and Khalsa",Belgaum,India,6,0.98
S0074,Bakshi-Gola,Bulandshahr,India,14,0.75
S0075,"Kothari, Loke and Dutta",Eluru,India,3,0.95
S0076,Singhal and Sons,Jaunpur,India,6,0.94
S0077,Mody-Kari,Nagpur,India,10,0.88
S0078,"Hans, Rastogi and Narasimhan",Coimbatore,India,4,0.81
S0079,Panchal-Upadhyay,Jorhat,India,4,0.86
S0080,Bala-D’Alia,Mangalore,India,14,0.97
S0081,"Lanka, Barad and Chopra",Hapur,India,2,0.87
S0082,"Murthy, Sarin and Vaidya",Kharagpur,India,9,0.71
S0083,"Gupta, Kumar and Basu",Mumbai,India,7,0.95
S0084,"Yohannan, Hegde and Patla",Coimbatore,India,15,0.93
S0085,"Narayanan, Murthy and Dash",Guna,India,5,0.72
S0086,Rege-Narain,Sagar,India,11,0.97
S0087,"Datta, Handa and Salvi",Akola,India,3,0.91
S0088,"Mitra, Ravi and Acharya",Baranagar,India,15,0.72
S0089,Sani PLC,Kirari Suleman Nagar,India,14,0.85
S0090,Sathe-Kala,Gulbarga,India,4,0.74
S0091,"Chad, Mander and Varma",Tiruchirappalli,India,9,0.97
S0092,Mukherjee and Sons,Siliguri,India,4,0.78
S0093,Batra and Sons,Phagwara,India,15,0.88
S0094,Shah Group,Yamunanagar,India,5,0.97
S0095,Ratta-Kohli,Kolkata,India,14,0.91
S0096,Sandal and Sons,Kadapa,India,5,0.91
S0097,Bedi-Krish,Sirsa,India,8,0.99
S0098,Shetty Ltd,Mango,India,12,0.81
S0099,"Thaman, Sandhu and Sehgal",Fatehpur,India,10,0.83
S0100,Lad-Kota,Saharsa,India,5,0.77
